,1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament,handedness,Height
246,0.054545455,0.591397849,116.5818182,99.09677419,0.518518519,0.481481481,0.075268817,M,Milos Raonic,Dustin Brown,74,0.580645161,hard,aus,R,77.17
359,0.279069767,0.614285714,112.7209302,111.5909091,0.473684211,0.526315789,0.071428571,M,Steve Darcis,Milos Raonic,86,0.814285714,clay,french,R,77.17
360,0.276315789,0.723809524,94.18421053,92.16666667,0.5,0.5,0.047619048,M,Rogerio Dutra Silva,Milos Raonic,127,0.723809524,clay,french,R,77.17
361,0.285714286,0.736842105,104.5714286,82,0.5,0.5,0.052631579,M,Guillermo Garcia Lopez,Milos Raonic,33,0.842105263,clay,french,R,77.17
362,0.201612903,0.704545455,102.0645161,79.95555556,0.513513514,0.486486486,0.039772727,M,Pablo Carreno Busta,Milos Raonic,189,0.630681818,clay,french,R,77.17
363,0.243243243,0.672727273,127.2162162,113.0625,0.55,0.45,0.036363636,M,Jan Lennard Struff,Milos Raonic,120,0.727272727,grass,wimbledon,R,77.17
364,0.342465753,0.646017699,123.2054795,109.6363636,0.454545455,0.545454545,0.061946903,M,Mikhail Youzhny,Milos Raonic,130,0.778761062,grass,wimbledon,R,77.17
365,0.245901639,0.701149425,122.8852459,112.2916667,0.5,0.5,0.022988506,M,Albert Ramos Vinolas,Milos Raonic,118,0.827586207,grass,wimbledon,R,77.17
366,0.185483871,0.708571429,123.6612903,102.5111111,0.457627119,0.542372881,0.034285714,M,Alexander Zverev,Milos Raonic,162,0.674285714,grass,wimbledon,R,77.17
367,0.157142857,0.729166667,123.2285714,97.34615385,0.459016393,0.540983607,0,M,Roger Federer,Milos Raonic,80,0.635416667,grass,wimbledon,R,77.17
368,0.28,0.632911392,118.66,110.25,0.457627119,0.542372881,0.063291139,M,Dustin Brown,Milos Raonic,98,0.746835443,hard,aus,R,77.17
369,0.344262295,0.642105263,120.5901639,109.0967742,0.507042254,0.492957746,0.031578947,M,Gilles Muller,Milos Raonic,102,0.747368421,hard,aus,R,77.17
370,0.283783784,0.660714286,122.3378378,103.4,0.513157895,0.486842105,0.026785714,M,Gilles Simon,Milos Raonic,117,0.678571429,hard,aus,R,77.17
371,0.410958904,0.646017699,124.9452055,107.4193548,0.5,0.5,0.079646018,M,Roberto Bautista Agut,Milos Raonic,128,0.690265487,hard,aus,R,77.17
372,0.183098592,0.663551402,123.4366197,106.1470588,0.529411765,0.470588235,0.018691589,M,Rafael Nadal,Milos Raonic,95,0.635514019,hard,aus,R,77.17
535,0,0.487804878,91.25,72.825,0.555555556,0.444444444,0.024390244,M,Rafael Nadal,Benoit Paire,57,0.43902439,clay,french,R,77.17
536,0.159574468,0.666666667,0,0,0.505747126,0.494252874,0.042553191,M,Rogerio Dutra Silva,Benoit Paire,142,0.617021277,grass,wimbledon,R,77.17
537,0.115384615,0.530612245,0,0,0.441176471,0.558823529,0.06122449,M,Pierre Hugues Herbert,Benoit Paire,104,0.693877551,grass,wimbledon,R,77.17
538,0.222222222,0.617647059,117.984127,96.88235294,0.48,0.52,0.049019608,M,Jerzy Janowicz,Benoit Paire,104,0.735294118,grass,wimbledon,R,77.17
