,ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament
77,0.5,0.5,0.5,0.5,M,Adrian Menendez Maceiras,Juan Martin del Potro,hard,us
78,0.5833333333333334,0.5352112676056338,0.4166666666666667,0.4647887323943662,M,Bjorn Fratangelo,Adrian Mannarino,hard,us
79,0.3333333333333333,0.47368421052631576,0.6666666666666666,0.5263157894736842,M,Adrian Mannarino,Bjorn Fratangelo,hard,us
80,0.3333333333333333,0.475,0.6666666666666666,0.525,M,Dominic Thiem,Taylor Fritz,hard,us
81,0.2,0.5056179775280899,0.8,0.4943820224719101,M,Taylor Fritz,Dominic Thiem,hard,us
82,0.4444444444444444,0.46808510638297873,0.5555555555555556,0.5319148936170213,M,Dudi Sela,Sam Querrey,hard,us
83,0.0,0.45714285714285713,1.0,0.5428571428571428,M,Sam Querrey,Dudi Sela,hard,us
84,0.25,0.5098039215686274,0.75,0.49019607843137253,M,John Isner,Hyeon Chung,hard,us
85,0.4666666666666667,0.48214285714285715,0.5333333333333333,0.5178571428571429,M,Hyeon Chung,John Isner,hard,us
86,0.8,0.5294117647058824,0.2,0.47058823529411764,M,Alexander Zverev,Borna Coric,hard,us
87,0.5714285714285714,0.5,0.42857142857142855,0.5,M,Borna Coric,Alexander Zverev,hard,us
88,0.75,0.40816326530612246,0.25,0.5918367346938775,M,Denis Shapovalov,Jo Wilfried Tsonga,hard,us
89,1.0,0.49230769230769234,0.0,0.5076923076923077,M,Jo Wilfried Tsonga,Denis Shapovalov,hard,us
90,0.4444444444444444,0.5454545454545454,0.5555555555555556,0.45454545454545453,M,Kyle Edmund,Steve Johnson,hard,us
91,0.0,0.4307692307692308,1.0,0.5692307692307692,M,Steve Johnson,Kyle Edmund,hard,us
92,0.6666666666666666,0.5813953488372093,0.3333333333333333,0.4186046511627907,M,Jared Donaldson,Lucas Pouille,hard,us
93,0.45454545454545453,0.4805194805194805,0.5454545454545454,0.5194805194805194,M,Lucas Pouille,Jared Donaldson,hard,us
94,0.5,0.5714285714285714,0.5,0.42857142857142855,M,Marin Cilic,Florian Mayer,hard,us
