,ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament,handedness
84,0.333333333,0.47191011200000005,0.666666667,0.528089888,M,Albert Ramos Vinolas,Lucas Pouille,clay,french,R
85,0.28571428600000004,0.5,0.7142857140000001,0.5,M,Ruben Bemelmans,Lucas Pouille,hard,us,R
86,0.666666667,0.581395349,0.333333333,0.418604651,M,Jared Donaldson,Lucas Pouille,hard,us,R
87,0.444444444,0.41666666700000005,0.5555555560000001,0.583333333,M,Mikhail Kukushkin,Lucas Pouille,hard,us,R
88,0.5,0.542857143,0.5,0.457142857,M,Diego Schwartzman,Lucas Pouille,hard,us,R
89,0.583333333,0.520547945,0.41666666700000005,0.479452055,M,Malek Jaziri,Lucas Pouille,grass,wimbledon,R
90,0.38888888899999996,0.460526316,0.611111111,0.539473684,M,Jerzy Janowicz,Lucas Pouille,grass,wimbledon,R
91,0.0,0.5,1.0,0.5,M,Luca Vanni,Tomas Berdych,hard,aus,R
92,0.666666667,0.47916666700000005,0.333333333,0.520833333,M,Ryan Harrison,Tomas Berdych,hard,aus,R
93,0.538461538,0.39215686299999997,0.46153846200000004,0.607843137,M,Roger Federer,Tomas Berdych,hard,aus,R
94,0.75,0.516129032,0.25,0.48387096799999996,M,Jan Lennard Struff,Tomas Berdych,clay,french,R
95,0.428571429,0.456140351,0.571428571,0.543859649,M,Karen Khachanov,Tomas Berdych,clay,french,R
96,0.5555555560000001,0.5,0.444444444,0.5,M,Ryan Harrison,Tomas Berdych,hard,us,R
97,0.75,0.525423729,0.25,0.474576271,M,Alexandr Dolgopolov,Tomas Berdych,hard,us,R
98,0.25,0.5,0.75,0.5,M,Jeremy Chardy,Tomas Berdych,grass,wimbledon,R
99,0.5,0.5,0.5,0.5,M,Ryan Harrison,Tomas Berdych,grass,wimbledon,R
100,0.333333333,0.444444444,0.666666667,0.5555555560000001,M,David Ferrer,Tomas Berdych,grass,wimbledon,R
101,0.46666666700000003,0.46666666700000003,0.533333333,0.533333333,M,Dominic Thiem,Tomas Berdych,grass,wimbledon,R
102,1.0,0.518518519,0.0,0.481481481,M,Novak Djokovic,Tomas Berdych,grass,wimbledon,R
103,0.875,0.506329114,0.125,0.49367088600000003,M,Roger Federer,Tomas Berdych,grass,wimbledon,R
104,1.0,0.705882353,0.0,0.294117647,M,Tomas Berdych,Luca Vanni,hard,aus,R
105,0.5,0.530612245,0.5,0.469387755,M,Nicolas Mahut,Ryan Harrison,hard,aus,R
106,0.666666667,0.5,0.333333333,0.5,M,Tomas Berdych,Ryan Harrison,hard,aus,R
107,0.28571428600000004,0.42222222200000004,0.7142857140000001,0.577777778,M,Aljaz Bedene,Ryan Harrison,clay,french,R
108,0.5,0.477272727,0.5,0.522727273,M,Tomas Berdych,Ryan Harrison,hard,us,R
109,0.5625,0.473684211,0.4375,0.526315789,M,Borna Coric,Ryan Harrison,grass,wimbledon,R
110,0.46666666700000003,0.5189873420000001,0.533333333,0.481012658,M,Tomas Berdych,Ryan Harrison,grass,wimbledon,R
111,0.0,0.535714286,1.0,0.46428571399999996,M,Ryan Harrison,Nicolas Mahut,hard,aus,R
112,0.8,0.520833333,0.2,0.47916666700000005,M,Simone Bolelli,Nicolas Mahut,clay,french,R
113,0.6,0.5,0.4,0.5,M,Pablo Carreno Busta,Nicolas Mahut,hard,us,R
114,0.5,0.433962264,0.5,0.5660377360000001,M,Mikhail Youzhny,Nicolas Mahut,grass,wimbledon,R
115,0.75,0.506024096,0.25,0.49397590399999997,M,Roger Federer,Jurgen Melzer,hard,aus,L
116,0.41176470600000004,0.545454545,0.588235294,0.454545455,M,Jurgen Melzer,Roger Federer,hard,aus,R
117,0.5625,0.492537313,0.4375,0.5074626870000001,M,Noah Rubin,Roger Federer,hard,aus,R
118,0.125,0.5121951220000001,0.875,0.487804878,M,Tomas Berdych,Roger Federer,hard,aus,R
119,0.5,0.48,0.5,0.52,M,Kei Nishikori,Roger Federer,hard,aus,R
120,0.5555555560000001,0.5,0.444444444,0.5,M,Mischa Zverev,Roger Federer,hard,aus,R
121,0.454545455,0.5697674420000001,0.545454545,0.430232558,M,Stan Wawrinka,Roger Federer,hard,aus,R
122,0.6315789470000001,0.517647059,0.36842105299999994,0.48235294100000004,M,Rafael Nadal,Roger Federer,hard,aus,R
