1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
0.101694915,0.50862069,96.11864407,64.31372549,0.540540541,0.459459459,0.051724138,M,Ivo Karlovic,Stefanos Tsitsipas,95,0.637931034,clay,french
0.071428571,0.615384615,97.58928571,82.02941176,0.50877193,0.49122807,0.010989011,M,Adrian Mannarino,Horacio Zeballos,97,0.626373626,clay,french
0.111111111,0.65060241,99.18518519,81.76923077,0.465116279,0.534883721,0.036144578,M,Horacio Zeballos,Adrian Mannarino,77,0.518072289,clay,french
0.019607843,0.6,100.0980392,91.83870968,0.558139535,0.441860465,0.035294118,M,David Goffin,Paul Henri Mathieu,60,0.505882353,clay,french
0.261904762,0.575342466,98.11904762,78.24137931,0.553571429,0.446428571,0.02739726,M,Paul Henri Mathieu,David Goffin,98,0.767123288,clay,french
0.179104478,0.443708609,95.95522388,88.64935065,0.5,0.5,0.046357616,M,Julien Benneteau,Lucas Pouille,150,0.715231788,clay,french
0.153846154,0.623287671,91.74725275,88.23913043,0.490384615,0.509615385,0.061643836,M,Lucas Pouille,Julien Benneteau,147,0.712328767,clay,french
0.104651163,0.666666667,0,0,0.518072289,0.481927711,0.07751938,M,Dusan Lajovic,Thomaz Bellucci,145,0.643410853,clay,french
0.076086957,0.634482759,0,0,0.506024096,0.493975904,0.006896552,M,Thomaz Bellucci,Dusan Lajovic,129,0.572413793,clay,french
0.059701493,0.558333333,93,72.28571429,0.5,0.5,0.033333333,M,Daniil Medvedev,Benjamin Bonzi,123,0.616666667,clay,french
0.081967213,0.525862069,112.6393443,69.10638298,0.507462687,0.492537313,0.068965517,M,Benjamin Bonzi,Daniil Medvedev,113,0.577586207,clay,french
0.102941176,0.507462687,80.83823529,81.49180328,0.479452055,0.520547945,0.037313433,M,Albert Ramos Vinolas,Marius Copil,106,0.544776119,clay,french
0.060606061,0.605504587,79.31818182,70.3902439,0.434210526,0.565789474,0.018348624,M,Marius Copil,Albert Ramos Vinolas,137,0.697247706,clay,french
0.076923077,0.702702703,0,0,0.4,0.6,0,M,Stefano Napolitano,Mischa Zverev,45,0.675675676,clay,french
0.037037037,0.658536585,0,0,0.571428571,0.428571429,0.024390244,M,Mischa Zverev,Stefano Napolitano,33,0.512195122,clay,french
0.047619048,0.515337423,0,0,0.494949495,0.505050505,0.042944785,M,Diego Schwartzman,Andrey Rublev,158,0.607361963,clay,french
0.029411765,0.684563758,0,0,0.511111111,0.488888889,0.026845638,M,Andrey Rublev,Diego Schwartzman,154,0.604026846,clay,french
0.081632653,0.576470588,0,0,0.531914894,0.468085106,0.047058824,M,Janko Tipsarevic,Joao Sousa,90,0.552941176,clay,french
0.081632653,0.510416667,0,0,0.41509434,0.58490566,0,M,Joao Sousa,Janko Tipsarevic,91,0.552083333,clay,french
0.089285714,0.549019608,110.6964286,92.32608696,0.530612245,0.469387755,0,M,Novak Djokovic,Marcel Granollers,82,0.480392157,clay,french
0.068965517,0.666666667,91.5,94.10714286,0.462962963,0.537037037,0.011494253,M,Marcel Granollers,Novak Djokovic,107,0.620689655,clay,french
0.14516129,0.496,106.4516129,79.96610169,0.5,0.5,0.032,M,Martin Klizan,Andy Murray,144,0.704,clay,french
0.065789474,0.554744526,94.22368421,83.37037037,0.555555556,0.444444444,0.051094891,M,Andy Murray,Martin Klizan,118,0.591240876,clay,french
0.2,0.68627451,92.57142857,62.73333333,0.540540541,0.459459459,0.019607843,M,Juan Martin Del Potro,Nicolas Almagro,56,0.725490196,clay,french
0.105263158,0.644067797,98.52631579,77,0.525,0.475,0.033898305,M,Nicolas Almagro,Juan Martin Del Potro,54,0.677966102,clay,french
0.273972603,0.708737864,93.49315068,63.68965517,0.524390244,0.475609756,0.009708738,M,Paolo Lorenzi,John Isner,104,0.796116505,clay,french
0.132075472,0.588888889,88.49056604,62.05555556,0.485294118,0.514705882,0.011111111,M,John Isner,Paolo Lorenzi,89,0.755555556,clay,french
0.279069767,0.467391304,110.1860465,94.14893617,0.52238806,0.47761194,0.02173913,M,Tomas Berdych,Karen Khachanov,102,0.72826087,clay,french
0.122807018,0.57,110.7719298,78.88095238,0.569230769,0.430769231,0.01,M,Karen Khachanov,Tomas Berdych,90,0.65,clay,french
0.047619048,0.724137931,86.31428571,73.40540541,0.464646465,0.535353535,0.020689655,M,Pierre Hugues Herbert,Fernando Verdasco,158,0.682758621,clay,french
0.122222222,0.580645161,96.54444444,83.64516129,0.510416667,0.489583333,0.019354839,M,Fernando Verdasco,Pierre Hugues Herbert,142,0.619354839,clay,french
0.057692308,0.65,0,0,0.479166667,0.520833333,0.05,M,Pablo Cuevas,Nicolas Kicker,83,0.6,clay,french
0.037037037,0.586956522,0,0,0.543859649,0.456140351,0.032608696,M,Nicolas Kicker,Pablo Cuevas,89,0.619565217,clay,french
0.069767442,0.589041096,100.9069767,91.35714286,0.444444444,0.555555556,0.02739726,M,Denis Istomin,Hyeon Chung,95,0.739726027,clay,french
0.078431373,0.62195122,98.66666667,76.96296296,0.43902439,0.56097561,0.048780488,M,Hyeon Chung,Denis Istomin,60,0.5,clay,french
0.109090909,0.654761905,81.81818182,58.66666667,0.522727273,0.477272727,0.05952381,M,Kei Nishikori,Jeremy Chardy,72,0.523809524,clay,french
0.08,0.588235294,86.98,64.83333333,0.49122807,0.50877193,0.058823529,M,Jeremy Chardy,Kei Nishikori,97,0.670588235,clay,french
0.228571429,0.603448276,103.2428571,86.34146341,0.5,0.5,0.043103448,M,Alexandr Dolgopolov,Stan Wawrinka,120,0.689655172,clay,french
0.084507042,0.645454545,104.6197183,83.63157895,0.5,0.5,0.009090909,M,Stan Wawrinka,Alexandr Dolgopolov,106,0.636363636,clay,french
0.086956522,0.446601942,0,0,0.509090909,0.490909091,0.038834951,M,Fabio Fognini,Andreas Seppi,95,0.533980583,clay,french
0.087719298,0.558823529,0,0,0.467741935,0.532258065,0.068627451,M,Andreas Seppi,Fabio Fognini,110,0.607843137,clay,french
0.125,0.563380282,88.25,74.44827586,0.5,0.5,0.028169014,M,Victor Estrella Burgos,Richard Gasquet,95,0.732394366,clay,french
0,0.670731707,92.25454545,92.12,0.384615385,0.615384615,0.024390244,M,Richard Gasquet,Victor Estrella Burgos,58,0.475609756,clay,french
0.05,0.634920635,89,91.75,0.44,0.56,0.047619048,M,Gael Monfils,Thiago Monteiro,48,0.396825397,clay,french
0.113207547,0.791044776,85.28301887,65.42857143,0.545454545,0.454545455,0,M,Thiago Monteiro,Gael Monfils,82,0.656716418,clay,french
0.035087719,0.619565217,104.3157895,72.16129032,0.530612245,0.469387755,0.043478261,M,Kyle Edmund,Renzo Olivo,74,0.532608696,clay,french
0.020408163,0.6125,107.3469388,80.39285714,0.527272727,0.472727273,0.0375,M,Renzo Olivo,Kyle Edmund,98,0.6875,clay,french
0.323076923,0.580357143,111.4461538,98.43589744,0.473684211,0.526315789,0.071428571,M,Nick Kyrgios,Kevin Anderson,126,0.678571429,clay,french
0.188235294,0.696721311,101.6352941,92.07142857,0.583333333,0.416666667,0.073770492,M,Kevin Anderson,Nick Kyrgios,108,0.590163934,clay,french
0.038834951,0.591954023,101.7087379,89.84210526,0.561904762,0.438095238,0.08045977,M,Feliciano Lopez,David Ferrer,172,0.603448276,clay,french
0.107843137,0.596491228,102.1470588,83.71428571,0.509615385,0.490384615,0.035087719,M,David Ferrer,Feliciano Lopez,173,0.608187135,clay,french
0.087719298,0.686746988,100.1052632,82.20833333,0.488888889,0.511111111,0.024096386,M,Marin Cilic,Konstantin Kravchuk,61,0.542168675,clay,french
0.227272727,0.611111111,90.22727273,80.52173913,0.446428571,0.553571429,0.069444444,M,Konstantin Kravchuk,Marin Cilic,94,0.777777778,clay,french
0.276315789,0.723809524,94.18421053,92.16666667,0.5,0.5,0.047619048,M,Rogerio Dutra Silva,Milos Raonic,127,0.723809524,clay,french
0.012820513,0.619047619,94.62820513,70.75609756,0.413333333,0.586666667,0.055555556,M,Milos Raonic,Rogerio Dutra Silva,104,0.595238095,clay,french
0.04,0.568181818,0,0,0.462686567,0.537313433,0.045454545,M,Guillermo Garcia Lopez,Marco Trungelliti,104,0.507575758,clay,french
0.15,0.425531915,0,0,0.456140351,0.543859649,0.085106383,M,Marco Trungelliti,Guillermo Garcia Lopez,122,0.606382979,clay,french
0.15,0.64,94.225,70.79069767,0.5375,0.4625,0.016,M,Taro Daniel,Pablo Carreno Busta,136,0.64,clay,french
0.061728395,0.642857143,85.41975309,77.92857143,0.471428571,0.528571429,0.023809524,M,Pablo Carreno Busta,Taro Daniel,115,0.555555556,clay,french
0.016393443,0.677777778,97.68852459,89.07407407,0.578947368,0.421052632,0.022222222,M,Grigor Dimitrov,Tommy Robredo,82,0.633333333,clay,french
