,ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament
92,0.45454545454545453,0.4897959183673469,0.5454545454545454,0.5102040816326531,M,Dusan Lajovic,Stefanos Tsitsipas,grass,wimbledon
93,0.75,0.5217391304347826,0.25,0.4782608695652174,M,Stefanos Tsitsipas,Dusan Lajovic,grass,wimbledon
94,0.0,0.5217391304347826,1.0,0.4782608695652174,M,Roger Federer,Alexandr Dolgopolov,grass,wimbledon
95,0.5,0.5185185185185185,0.5,0.48148148148148145,M,Alexandr Dolgopolov,Roger Federer,grass,wimbledon
96,0.25,0.38235294117647056,0.75,0.6176470588235294,M,Vasek Pospisil,Dominic Thiem,grass,wimbledon
97,0.7142857142857143,0.532258064516129,0.2857142857142857,0.46774193548387094,M,Dominic Thiem,Vasek Pospisil,grass,wimbledon
98,0.4,0.4666666666666667,0.6,0.5333333333333333,M,Nicolas Jarry,Gilles Simon,grass,wimbledon
99,0.875,0.52,0.125,0.48,M,Gilles Simon,Nicolas Jarry,grass,wimbledon
100,0.0,0.4,0.0,0.6,M,Jared Donaldson,Janko Tipsarevic,grass,wimbledon
101,0.0,0.3333333333333333,1.0,0.6666666666666666,M,Janko Tipsarevic,Jared Donaldson,grass,wimbledon
102,0.46153846153846156,0.47560975609756095,0.5384615384615384,0.524390243902439,M,Paolo Lorenzi,Horacio Zeballos,grass,wimbledon
103,0.5,0.5113636363636364,0.5,0.48863636363636365,M,Horacio Zeballos,Paolo Lorenzi,grass,wimbledon
104,0.0,0.5352112676056338,0.0,0.4647887323943662,M,David Ferrer,Richard Gasquet,grass,wimbledon
105,1.0,0.47058823529411764,0.0,0.5294117647058824,M,Richard Gasquet,David Ferrer,grass,wimbledon
106,0.5555555555555556,0.4659090909090909,0.4444444444444444,0.5340909090909091,M,Ricardas Berankis,Steve Darcis,grass,wimbledon
107,1.0,0.47959183673469385,0.0,0.5204081632653061,M,Steve Darcis,Ricardas Berankis,grass,wimbledon
108,0.3333333333333333,0.5151515151515151,0.6666666666666666,0.48484848484848486,M,Ryan Harrison,Borna Coric,grass,wimbledon
109,0.5625,0.47368421052631576,0.4375,0.5263157894736842,M,Borna Coric,Ryan Harrison,grass,wimbledon
110,0.5882352941176471,0.5064935064935064,0.4117647058823529,0.4935064935064935,M,Tomas Berdych,Jeremy Chardy,grass,wimbledon
111,0.25,0.5,0.75,0.5,M,Jeremy Chardy,Tomas Berdych,grass,wimbledon
112,0.7142857142857143,0.5882352941176471,0.2857142857142857,0.4117647058823529,M,Daniel Brands,Gael Monfils,grass,wimbledon
113,0.4,0.4794520547945205,0.6,0.5205479452054794,M,Gael Monfils,Daniel Brands,grass,wimbledon
114,0.875,0.5416666666666666,0.125,0.4583333333333333,M,Alexander Ward,Kyle Edmund,grass,wimbledon
115,0.6666666666666666,0.5588235294117647,0.3333333333333333,0.4411764705882353,M,Kyle Edmund,Alexander Ward,grass,wimbledon
116,1.0,0.5,0.0,0.5,M,Brydan Klein,Yuichi Sugita,grass,wimbledon
117,0.5,0.4528301886792453,0.5,0.5471698113207547,M,Yuichi Sugita,Brydan Klein,grass,wimbledon
118,0.5833333333333334,0.5147058823529411,0.4166666666666667,0.4852941176470588,M,Feliciano Lopez,Adrian Mannarino,grass,wimbledon
119,0.5833333333333334,0.5510204081632653,0.4166666666666667,0.4489795918367347,M,Adrian Mannarino,Feliciano Lopez,grass,wimbledon
120,0.29411764705882354,0.4835164835164835,0.7058823529411765,0.5164835164835165,M,Thanasi Kokkinakis,Juan Martin Del Potro,grass,wimbledon
121,0.4375,0.5068493150684932,0.5625,0.4931506849315068,M,Juan Martin Del Potro,Thanasi Kokkinakis,grass,wimbledon
122,0.42857142857142855,0.4772727272727273,0.5714285714285714,0.5227272727272727,M,Victor Estrella Burgos,Ernests Gulbis,grass,wimbledon
123,0.0,0.425,0.0,0.575,M,Ernests Gulbis,Victor Estrella Burgos,grass,wimbledon
124,0.5,0.5285714285714286,0.5,0.4714285714285714,M,Ernesto Escobedo,Adam Pavlasek,grass,wimbledon
125,0.6666666666666666,0.4931506849315068,0.3333333333333333,0.5068493150684932,M,Adam Pavlasek,Ernesto Escobedo,grass,wimbledon
126,0.0,0.3333333333333333,0.0,0.6666666666666666,M,Novak Djokovic,Martin Klizan,grass,wimbledon
127,0.6666666666666666,0.43478260869565216,0.3333333333333333,0.5652173913043478,M,Martin Klizan,Novak Djokovic,grass,wimbledon
128,0.5555555555555556,0.4838709677419355,0.4444444444444444,0.5161290322580645,M,Dustin Brown,Andy Murray,grass,wimbledon
