,1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
37,0.35106382978723405,0.5911949685534591,0.0,0.0,0.504424778761062,0.49557522123893805,0.0440251572327044,M,Paul Henri Mathieu,Andreas Seppi,160,0.710691823899371,hard,aus
38,0.11764705882352941,0.5074626865671642,115.3529411764706,86.73333333333333,0.5151515151515151,0.48484848484848486,0.04477611940298507,M,Nick Kyrgios,Gastao Elias,46,0.4925373134328358,hard,aus
39,0.1891891891891892,0.578125,121.1891891891892,106.75,0.47058823529411764,0.5294117647058824,0.046875,M,Gastao Elias,Nick Kyrgios,85,0.796875,hard,aus
40,0.3877551020408163,0.47572815533980584,114.91836734693878,87.40816326530613,0.4675324675324675,0.5324675324675324,0.04854368932038835,M,Thiago Monteiro,Jo Wilfried Tsonga,125,0.7475728155339806,hard,aus
41,0.06666666666666667,0.5405405405405406,114.15,90.0,0.5396825396825397,0.4603174603174603,0.07207207207207207,M,Jo Wilfried Tsonga,Thiago Monteiro,89,0.5675675675675675,hard,aus
42,0.07017543859649122,0.59375,0.0,0.0,0.4406779661016949,0.559322033898305,0.041666666666666664,M,Stephane Robert,Dusan Lajovic,107,0.6145833333333334,hard,aus
43,0.037037037037037035,0.54,0.0,0.0,0.5961538461538461,0.40384615384615385,0.05,M,Dusan Lajovic,Stephane Robert,89,0.52,hard,aus
44,0.42105263157894735,0.5984251968503937,0.0,0.0,0.5217391304347826,0.4782608695652174,0.031496062992125984,M,Adrian Mannarino,Karen Khachanov,139,0.7244094488188977,hard,aus
45,0.08888888888888889,0.6382978723404256,0.0,0.0,0.48936170212765956,0.5106382978723404,0.0070921985815602835,M,Karen Khachanov,Adrian Mannarino,129,0.6666666666666666,hard,aus
46,0.20588235294117646,0.6538461538461539,112.8970588235294,93.34375,0.5846153846153846,0.4153846153846154,0.038461538461538464,M,Jack Sock,Pierre Hugues Herbert,99,0.625,hard,aus
47,0.14492753623188406,0.6571428571428571,114.08695652173913,103.7,0.49295774647887325,0.5070422535211268,0.05714285714285714,M,Pierre Hugues Herbert,Jack Sock,110,0.6761904761904762,hard,aus
48,0.25,0.6285714285714286,108.88636363636364,90.95833333333333,0.5178571428571429,0.48214285714285715,0.02857142857142857,M,Thomaz Bellucci,Bernard Tomic,94,0.8,hard,aus
49,0.18867924528301888,0.6385542168674698,107.9622641509434,86.5925925925926,0.5333333333333333,0.4666666666666667,0.03614457831325301,M,Bernard Tomic,Thomaz Bellucci,59,0.5421686746987951,hard,aus
50,0.04040404040404041,0.6923076923076923,0.0,0.0,0.46987951807228917,0.5301204819277109,0.04195804195804196,M,Aljaz Bedene,Victor Estrella Burgos,136,0.5804195804195804,hard,aus
51,0.0958904109589041,0.5407407407407407,0.0,0.0,0.524390243902439,0.47560975609756095,0.05925925925925926,M,Victor Estrella Burgos,Aljaz Bedene,142,0.6074074074074074,hard,aus
52,0.22,0.5319148936170213,0.0,0.0,0.4230769230769231,0.5769230769230769,0.0425531914893617,M,Daniel Evans,Facundo Bagnis,75,0.5531914893617021,hard,aus
53,0.2641509433962264,0.6022727272727273,0.0,0.0,0.5538461538461539,0.4461538461538462,0.03409090909090909,M,Facundo Bagnis,Daniel Evans,107,0.7386363636363636,hard,aus
54,0.17391304347826086,0.6618705035971223,115.45652173913044,86.53846153846153,0.5176470588235295,0.4823529411764706,0.05755395683453238,M,Marin Cilic,Jerzy Janowicz,121,0.6115107913669064,hard,aus
55,0.33783783783783783,0.5736434108527132,119.36486486486487,95.93478260869566,0.5053763440860215,0.4946236559139785,0.06976744186046512,M,Jerzy Janowicz,Marin Cilic,147,0.7209302325581395,hard,aus
56,0.11764705882352941,0.4788732394366197,101.58823529411765,95.52941176470588,0.5471698113207547,0.4528301886792453,0.04225352112676056,M,Jiri Vesely,Gael Monfils,89,0.7464788732394366,hard,aus
