ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament
0.684210526,0.576923077,0.315789474,0.423076923,M,Andrew Whittington,Ivo Karlovic,hard,aus
0.333333333,0.565217391,0.666666667,0.434782609,M,Ivo Karlovic,Andrew Whittington,hard,aus
0.666666667,0.47826087,0.333333333,0.52173913,M,David Goffin,Radek Stepanek,hard,aus
0.571428571,0.568181818,0.428571429,0.431818182,M,Radek Stepanek,David Goffin,hard,aus
0.5,0.447368421,0.5,0.552631579,M,Hyeon Chung,Grigor Dimitrov,hard,aus
0.714285714,0.507042254,0.285714286,0.492957746,M,Grigor Dimitrov,Hyeon Chung,hard,aus
0.5,0.473684211,0.5,0.526315789,M,Richard Gasquet,Carlos Berlocq,hard,aus
0.5,0.487179487,0.5,0.512820513,M,Carlos Berlocq,Richard Gasquet,hard,aus
0.428571429,0.431034483,0.571428571,0.568965517,M,Kyle Edmund,Pablo Carreno Busta,hard,aus
0.666666667,0.547619048,0.333333333,0.452380952,M,Pablo Carreno Busta,Kyle Edmund,hard,aus
0.647058824,0.485074627,0.352941176,0.514925373,M,Novak Djokovic,Denis Istomin,hard,aus
0.416666667,0.429906542,0.583333333,0.570093458,M,Denis Istomin,Novak Djokovic,hard,aus
0.5,0.464285714,0.5,0.535714286,M,Sam Querrey,Andy Murray,hard,aus
0.6,0.490566038,0.4,0.509433962,M,Andy Murray,Sam Querrey,hard,aus
0.428571429,0.5,0.571428571,0.5,M,Malek Jaziri,Mischa Zverev,hard,aus
0.25,0.434782609,0.75,0.565217391,M,Mischa Zverev,Malek Jaziri,hard,aus
0.538461538,0.392156863,0.461538462,0.607843137,M,Roger Federer,Tomas Berdych,hard,aus
0.125,0.512195122,0.875,0.487804878,M,Tomas Berdych,Roger Federer,hard,aus
0.454545455,0.5,0.545454545,0.5,M,Kei Nishikori,Lukas Lacko,hard,aus
0.6,0.47826087,0.4,0.52173913,M,Lukas Lacko,Kei Nishikori,hard,aus
0.625,0.507042254,0.375,0.492957746,M,Viktor Troicki,Stan Wawrinka,hard,aus
0.428571429,0.485714286,0.571428571,0.514285714,M,Stan Wawrinka,Viktor Troicki,hard,aus
0.5,0.472972973,0.5,0.527027027,M,Andreas Seppi,Steve Darcis,hard,aus
0.545454545,0.486111111,0.454545455,0.513888889,M,Steve Darcis,Andreas Seppi,hard,aus
0.52173913,0.495049505,0.47826087,0.504950495,M,Jack Sock,Jo Wilfried Tsonga,hard,aus
0.571428571,0.521276596,0.428571429,0.478723404,M,Jo Wilfried Tsonga,Jack Sock,hard,aus
0.6,0.487804878,0.4,0.512195122,M,Daniel Evans,Bernard Tomic,hard,aus
0.555555556,0.506666667,0.444444444,0.493333333,M,Bernard Tomic,Daniel Evans,hard,aus
0.625,0.470588235,0.375,0.529411765,M,Philipp Kohlschreiber,Gael Monfils,hard,aus
1,0.519230769,0,0.480769231,M,Gael Monfils,Philipp Kohlschreiber,hard,aus
0.5,0.537037037,0.5,0.462962963,M,Rafael Nadal,Alexander Zverev,hard,aus
0.545454545,0.522123894,0.454545455,0.477876106,M,Alexander Zverev,Rafael Nadal,hard,aus
0.8,0.471698113,0.2,0.528301887,M,David Ferrer,Roberto Bautista Agut,hard,aus
0,0.518518519,1,0.481481481,M,Roberto Bautista Agut,David Ferrer,hard,aus
0,0.457831325,0,0.542168675,M,Milos Raonic,Gilles Simon,hard,aus
0.619047619,0.472972973,0.380952381,0.527027027,M,Gilles Simon,Milos Raonic,hard,aus
0.4,0.482352941,0.6,0.517647059,M,Benoit Paire,Dominic Thiem,hard,aus
0.5,0.596153846,0.5,0.403846154,M,Dominic Thiem,Benoit Paire,hard,aus
0.375,0.413793103,0.625,0.586206897,M,David Goffin,Ivo Karlovic,hard,aus
0,0.538461538,1,0.461538462,M,Ivo Karlovic,David Goffin,hard,aus
0.363636364,0.463768116,0.636363636,0.536231884,M,Richard Gasquet,Grigor Dimitrov,hard,aus
0,0.387755102,1,0.612244898,M,Grigor Dimitrov,Richard Gasquet,hard,aus
0.6,0.5,0.4,0.5,M,Denis Istomin,Pablo Carreno Busta,hard,aus
0.6875,0.548387097,0.3125,0.451612903,M,Pablo Carreno Busta,Denis Istomin,hard,aus
0.7,0.526315789,0.3,0.473684211,M,Mischa Zverev,Andy Murray,hard,aus
0.285714286,0.538461538,0.714285714,0.461538462,M,Andy Murray,Mischa Zverev,hard,aus
0.5,0.48,0.5,0.52,M,Kei Nishikori,Roger Federer,hard,aus
0.4,0.439252336,0.6,0.560747664,M,Roger Federer,Kei Nishikori,hard,aus
0.4,0.46969697,0.6,0.53030303,M,Andreas Seppi,Stan Wawrinka,hard,aus
0.333333333,0.547619048,0.666666667,0.452380952,M,Stan Wawrinka,Andreas Seppi,hard,aus
0.5625,0.481481481,0.4375,0.518518519,M,Daniel Evans,Jo Wilfried Tsonga,hard,aus
1,0.55,0,0.45,M,Jo Wilfried Tsonga,Daniel Evans,hard,aus
0.642857143,0.513157895,0.357142857,0.486842105,M,Rafael Nadal,Gael Monfils,hard,aus
0.5,0.472972973,0.5,0.527027027,M,Gael Monfils,Rafael Nadal,hard,aus
0.625,0.488636364,0.375,0.511363636,M,Milos Raonic,Roberto Bautista Agut,hard,aus
0.466666667,0.506849315,0.533333333,0.493150685,M,Roberto Bautista Agut,Milos Raonic,hard,aus
0.538461538,0.532467532,0.461538462,0.467532468,M,David Goffin,Dominic Thiem,hard,aus
0.533333333,0.514285714,0.466666667,0.485714286,M,Dominic Thiem,David Goffin,hard,aus
0.428571429,0.527777778,0.571428571,0.472222222,M,Denis Istomin,Grigor Dimitrov,hard,aus
0.5,0.506849315,0.5,0.493150685,M,Grigor Dimitrov,Denis Istomin,hard,aus
0.6,0.5,0.4,0.5,M,Roger Federer,Mischa Zverev,hard,aus
0.555555556,0.5,0.444444444,0.5,M,Mischa Zverev,Roger Federer,hard,aus
0.75,0.482758621,0.25,0.517241379,M,Jo Wilfried Tsonga,Stan Wawrinka,hard,aus
0.428571429,0.5,0.571428571,0.5,M,Stan Wawrinka,Jo Wilfried Tsonga,hard,aus
0.5,0.539473684,0.5,0.460526316,M,Milos Raonic,Rafael Nadal,hard,aus
0.384615385,0.478873239,0.615384615,0.521126761,M,Rafael Nadal,Milos Raonic,hard,aus
