1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
0.075471698,0.588888889,0,0,0.48,0.52,0.022222222,M,Mikhail Youzhny,Nicolas Mahut,93,0.555555556,grass,wimbledon
0.093457944,0.636904762,0,0,0.551401869,0.448598131,0.029761905,M,Stefano Travaglia,Andrey Rublev,173,0.636904762,grass,wimbledon
0.204081633,0.569767442,0,0,0.490566038,0.509433962,0.040697674,M,Andrey Rublev,Stefano Travaglia,167,0.61627907,grass,wimbledon
0.089285714,0.56,0,0,0.508196721,0.491803279,0.01,M,Albert Ramos Vinolas,Jordan Thompson,102,0.61,grass,wimbledon
0.034883721,0.747826087,0,0,0.486486486,0.513513514,0.034782609,M,Jordan Thompson,Albert Ramos Vinolas,113,0.643478261,grass,wimbledon
0.196721311,0.539823009,0,0,0.529411765,0.470588235,0.026548673,M,Christian Garin,Jack Sock,126,0.752212389,grass,wimbledon
0.076923077,0.565217391,0,0,0.445945946,0.554054054,0.052173913,M,Jack Sock,Christian Garin,102,0.643478261,grass,wimbledon
0.081081081,0.415730337,0,0,0.553191489,0.446808511,0.08988764,M,Sebastian Ofner,Thomaz Bellucci,70,0.528089888,grass,wimbledon
0.076923077,0.658227848,0,0,0.553571429,0.446428571,0.050632911,M,Thomaz Bellucci,Sebastian Ofner,98,0.708860759,grass,wimbledon
0.147727273,0.671755725,0,0,0.494117647,0.505882353,0.022900763,M,Frances Tiafoe,Robin Haase,130,0.648854962,grass,wimbledon
0.185185185,0.618320611,0,0,0.476744186,0.523255814,0.030534351,M,Robin Haase,Frances Tiafoe,132,0.65648855,grass,wimbledon
0.14,0.602409639,111.8,88.875,0.444444444,0.555555556,0.012048193,M,Alexander Zverev,Evgeny Donskoy,84,0.65060241,grass,wimbledon
0.202898551,0.683168317,123.3768116,104.7241379,0.563380282,0.436619718,0.02970297,M,Evgeny Donskoy,Alexander Zverev,100,0.702970297,grass,wimbledon
0.183673469,0.563218391,122.1020408,101.3214286,0.516666667,0.483333333,0.114942529,M,Diego Schwartzman,Grigor Dimitrov,96,0.689655172,grass,wimbledon
0.041666667,0.607594937,102.8541667,78.96428571,0.488372093,0.511627907,0.037974684,M,Grigor Dimitrov,Diego Schwartzman,70,0.544303797,grass,wimbledon
